host_time_unix,host_monotonic_s,phase,watts
1788739316.339903,2219558.242645921,active:t08:vision_ccd_to_next_slm,104.05
1788739316.3499687,2219558.252711221,active:t08:vision_ccd_to_next_slm,104.05
1788739316.3600385,2219558.262781129,active:t08:vision_ccd_to_next_slm,104.05
1788739316.3701105,2219558.272853228,active:t08:vision_ccd_to_next_slm,105.05
1788739316.3801746,2219558.282917285,active:t08:vision_ccd_to_next_slm,105.05
1788739316.390243,2219558.2929857,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4003108,2219558.30305364,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4103801,2219558.313122665,active:t08:vision_ccd_to_next_slm,105.05
1788739316.420453,2219558.323195919,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4305167,2219558.333259502,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4405868,2219558.343329396,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4506536,2219558.353396302,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4607215,2219558.363464149,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4708035,2219558.37354626,active:t08:vision_ccd_to_next_slm,105.05
1788739316.4808617,2219558.383604266,active:t08:vision_ccd_to_next_slm,105.05
1788739316.490928,2219558.393670488,active:t08:vision_ccd_to_next_slm,105.05
1788739316.5009954,2219558.403738115,active:t08:vision_ccd_to_next_slm,105.05
1788739316.5110624,2219558.413805105,active:t08:vision_ccd_to_next_slm,105.05
1788739316.521133,2219558.423875853,active:t08:vision_ccd_to_next_slm,105.05
